sentence,범죄,혐오,선정,비도덕 아님,폭력,비난,욕설,차별
우리 회사 여자 신입 일 개못해,0,0,0,0,0,1,0,0
요새는 여자들이 업무능력 생존능력은 퇴화하고 오로지 남자에게 잘 보일 몸매만 진화하는 것 같음...,0,0,0,0,0,1,0,1
한남한남 거리면서 남성혐오하고 걸스캔두 애니띵이라면서 뭐든 할수 있다더니?,0,0,0,0,0,1,0,1
정작 지 할일 제대로 못하고 징징대는거 꼴뵈기 싫음,0,0,0,0,0,1,0,0
이딴 것도 기사라고 썼냐,0,0,0,0,0,1,0,0
맞춤법 개판이고 뭐라고 쓴 건지 알 수가 없네,0,0,0,0,0,1,0,0
우리나라 기자들은 일베사이트 기웃기웃거리기나 하지...,0,0,0,0,0,1,0,0
점심이나 축내고.. 안타깝다,0,0,0,0,0,1,0,0
이게 기자의 수준이구나 ㅋㅋㅋ,0,0,0,0,0,1,0,0
요즘 괜찮은 야동 싸이트 없나요?,0,0,1,0,0,0,0,0
나이가 들어갈수록 더 보고 싶어져요,0,0,0,1,0,0,0,0
우웩 딸배 사라져,0,1,1,0,0,1,0,0
쓰레기같은 샛기들이 쓰레기를 처 버리고 가네...,0,0,0,0,0,1,1,0
수준 진짜 하아...,0,0,0,0,0,1,0,0
의사들은 도대체 왜 cctv 설치 거부함?,0,0,0,1,0,0,0,0
환자가 불안하다는데 해야되는 거 아니야?,0,0,0,1,0,0,0,0
어린이집도 이제 cctv 설치하는데,0,0,0,1,0,0,0,0
의사들이 cctv 설치 거부하는 이유는 무조건 하나밖에 없음,0,0,0,1,0,0,0,0
계속 몰카 성추행 성범죄 강제로 하고 싶어서,1,0,0,0,0,1,0,0
설치 반대하는 샛기들 이유는 그거 하나임,0,0,0,0,0,1,1,0
대리수술은 하찮을 정도의 이유,0,0,0,1,0,0,0,0
의료과실과 성범죄 은폐하려고 기를 쓰고 반대하는 거지,0,0,0,1,0,0,0,0
스모선수 엉떵이가 태동태동하네,0,0,1,0,0,1,0,0
극혐 돼지저금통같은 샛기,0,1,0,0,0,1,0,0
성매매 업소 여성 지원금..?,0,0,0,1,0,0,0,0
정부 돈이 남아도네...,0,0,0,1,0,0,0,0
돈 받아 흥청망청 다쓰고 다시 창냔짓 하다 다시 돈 받고 또 흥청망청 다쓰고 다치 창냔짓 무한 반복하겠네..,0,1,0,0,0,1,1,0
창냔지원금 반대하고 제명당한 국회의원도 있대,0,0,0,0,0,1,0,0
이 정도면 진짜 페미 나치지,0,1,0,0,0,1,0,0
우리나라는 너무 술 문화를 올려치기 하는 경향이 있는 것 같아,0,0,0,1,0,0,0,0
진짜 전생에 술 못쳐먹고 데진 귀신들이 씌었나..,0,0,0,0,0,1,0,0
왜 꼭 담배피면 꽁초 바닥에 버리면서 침을 뱉어 대는 걸까,0,0,0,1,0,0,0,0
진짜 저급해보임...,0,0,0,0,0,1,0,0
너네는 햄버거 프랜차이즈 중에 어디가 젤 좋아?,0,0,0,1,0,0,0,0
나는 엄마의 손길 ㅋㅋㅋㅋ,0,0,0,1,0,0,0,0
아직도 계모터치 쳐먹는 거지가 있나,0,0,0,0,0,1,0,0
우리 아가들한테 페미프레임 씌우려고 안달났네 메퉤지년들 ㅡㅡㅋ,0,0,0,0,0,1,1,0
기생충들 얘기는 패스~ 울 아가들 건들면 알지...,0,0,0,0,0,1,0,0
아재들 덕분에 떴는데 쟤들이 페미하겠냐?,0,0,0,1,0,0,0,0
생각 좀 하자.,0,0,0,1,0,0,0,0
페미가 어떻게 위문공연을 오냐,0,0,0,1,0,0,0,0
위문공연가는 건 페미라도 아닌척 갈수 있다고도 생각함,0,0,0,1,0,0,0,0
그룹이니까 혼자만 안 간다고 할 수는 없으니,0,0,0,1,0,0,0,0
그래도 걔네 군인들 고맙다고 영상편지도 남겼는데...,0,0,0,1,0,0,0,0
이런 애들한테 페미 묻히려한 꼴페미들 용서못해,0,1,0,0,0,1,0,0
아무튼 많은 남성들에게 사랑과 응원을 받고 있는 만큼 토크할 때 페미용어들 특히 조심해줬으면...,0,0,0,1,0,0,0,0
전지적 샤워기 시선이냐고 ㅋㅋㅋ 샤워씬 구도 뭔데,0,0,0,1,0,0,0,0
감독 천재인가봐... ㅁㅣ친.... 대작이다 대작이야,0,0,0,1,0,0,0,0
아니 ㅋㅋㅋ 완전 노렸네 ㅋㅋ ㄱㅅ 합니다,0,0,0,1,0,0,0,0
아... 진짜 제일 꼴려,0,0,1,0,0,0,0,0
와 나 벌써 쌌어,0,0,1,0,0,0,0,0
와ㅏ아아아ㅏ아아ㅏ아ㅏ악 헉헉헉헉헉 미쳤다,0,0,1,1,0,0,0,0
존꼴대꼴 아침부터 발-기한다,0,0,1,0,0,0,0,0
센세 ㅈㄴ 꼴려요 ㅌㅌㅌ,0,0,1,0,0,0,1,0
하나하나 ㅈㄴ 찰떡에 개꼴 ㅌㅌㅌㅌ,0,0,1,0,0,0,1,0
허락-다정-변태-소유욕이라니 개좋아 ㅌㅌㅌㅌ,0,0,1,0,0,0,0,0
정부 방역 정책 진짜 답답하네,0,0,0,1,0,0,0,0
5인 방역이 무슨 의미가 있나,0,0,0,1,0,0,0,0
그럼 콩나물 시루 같은 전철 안 상황 바퀴벌레 모임 같은 종교모임 다 단속해야할거 아니냐고,0,1,0,0,0,0,0,0
그런건 나몰라라하고 뭔 짓거린지...,0,0,0,0,0,1,0,0
그냥 아무 정책이나 싸지르면 국민들이 알아서 해주니까 이지경이 된거임,0,0,0,0,0,1,0,0
나는 진짜 멍멍이같은 방역 정책도 열심히 지키는 중인데 가끔 진짜 억울함,0,0,0,0,0,1,0,0
코로나 퍼진게 국민 탓인가 아니면 방역 잘못한 나라탓인가?,0,0,0,1,0,0,0,0
코로나 초반이랑 변이 바이러스 퍼질 때 해외 입국자 안 막고 뭐했나,0,0,0,1,0,0,0,0
그놈의 케이방역 자랑하면서 해외 입국자 안 막아서 이 사단 난거지,0,0,0,0,0,1,0,0
국가가 국민 위해 해준거 쥐뿔도 없다,0,0,0,0,0,1,0,0
국민이 국가 지켰지,0,0,0,1,0,0,0,0
뭐같이 생긴 애들이 꼭 남자를 혐오하는 진실,0,0,0,0,0,1,0,0
맞아 ㅋㅋㅋ,0,0,0,1,0,0,0,0
예쁘고 평범한 여자들은 저런 거 신경안쓰고 본인 관리하지,0,0,0,1,0,0,0,0
못갱긴 여자들이나 페미 메갈을 무기화하는 거 ㅋㅋ,0,0,0,0,0,1,0,0
지금 한국의 페미니즘은 여성으로서의 대우를 받고 싶어하는 게 아니고 남자 위에 군림하고 싶어하는 무식한 년들임,0,1,0,0,0,1,0,0
자유주의 페미니즘은 기본적으로 보편적 인권을 추구하는 거고 그쪽이 말하는 여성우월주의를 래디컬입니다.,0,0,0,1,0,0,0,0
아무 소리나 찍찍 하는 자칭 보수 수준?,0,0,0,0,0,1,0,0
뚫린 입이라고 못하는 말이 없네,0,0,0,0,0,1,0,0
주딩이에 확 똥을 쳐 넣어버리고 싶다,0,1,0,0,1,1,0,0
이미 주딩이가 아니라 똥터널이라서 당연한 처사...,0,1,0,0,0,1,0,0
멍멍이기독교들 극혐,0,1,0,0,0,1,0,0
만약 멍멍이기독교들이 천국에 간다면 그따위 천국 개나 줘버려라,0,1,0,0,0,1,0,0
글 중에 \노 맘충\ \노 빠충\은 무슨 표현인가요?,0,0,0,1,0,0,0,0
개념 없는 부모는 꺼지라는 뜻입니다 ㅋㅋㅋ,0,1,0,0,0,1,0,0
요즘 정상인 여자들은 페미 욕하지 페미 안 함,0,0,0,0,0,1,0,0
나는 인간은 정상인과 그 외 토착왜구 쓰레기 페미 기레기 이딴 것들로 나눠야 한다고 생각해,0,1,0,0,0,1,0,1
어떻게 20개월 아기를 성범죄하지?,0,0,0,1,0,0,0,0
사람샛기 맞나?,0,0,0,0,0,1,0,0
내가 노안이 왔나... 20살 아니고 20개월이라고?,0,0,0,1,0,0,0,0
길거리 발바리도 갖 태어난 강아지한테 그짓 안한다,0,0,0,0,0,1,0,0
이 개만도 못한 쓰레기 같으니라고,0,1,0,0,0,1,0,0
온몸 골절만 해도 사탄이 실직할 노릇인데 20개월짜리를 성범죄이라니... 하...,0,1,0,0,0,1,0,0
솔직히 군 가산점 제도는 어떻게든 남자들 유리하게 하려고 만든 제도 아니야?,0,0,0,1,0,0,0,0
여자도 군대 가야 되면 당연히 가서 하지,0,0,0,1,0,0,0,0
페미들 군대나 가고 주딩이 놀리길...,0,0,0,0,0,1,0,0
와... 너무 무섭다 ㅜㅜ,0,0,0,1,0,0,0,0
왜 무슨 일이야?,0,0,0,1,0,0,0,0
이거 영상 봐봐,0,0,0,1,0,0,0,0
흑인이 상점 주인 할머니 얼굴 막 주먹으로 쳐,0,0,0,1,0,0,0,0
아시아인이라고 그런거래,0,0,0,1,0,0,0,0
이런거보면 검둥이들 피는 어쩔 수가 없나봐,0,1,0,0,0,1,0,1
코로나 터지고 아시아인 증오 관련 폭력 사건은 거의 흑인이 하잖아,0,0,0,1,0,0,0,0
미국 경찰들이 흑인들 인종차별 하는 것도 다 이유가 있다니까,0,1,0,0,0,0,0,1
딱 노예 수준이지,0,1,0,0,0,1,0,1
우리 학교 앞 코노에서 확진자 나왔대,0,0,0,1,0,0,0,0
이 시국에 코노 갔다고?,0,0,0,1,0,0,0,0
제정신인가?,0,0,0,0,0,1,0,0
가서 들은 놈들이나 가서 노래부른 놈들이나 개념을 말아쳐먹은거지,0,0,0,0,0,1,0,0
여기 조선족 많이 산대,0,0,0,1,0,0,0,0
어쩐지 느낌이 음침하더라,0,0,0,0,0,0,0,1
그치.. 뭐 차별 어쩌구 하는데 그래도 찝찝한 건 어쩔수가 없다,0,0,0,0,0,0,0,1
우리가 뭐 괜히 그러냐,0,0,0,1,0,0,0,0
처음엔 우리도 동포로 인정해주려고 했는데 하는 짓이 짱깨랑 똑같으니까 그런거 아니야,0,1,0,0,0,1,0,1
여자 선수 유니폼 바꾼 거 가지고 겁나 말 많네,0,0,0,1,0,0,0,0
그동안 여자 경기는 스포츠라고 생각 안하고 눈요기로 봤다는 뜻이잖아,0,0,0,1,0,0,0,0
도랐나... 진짜 미개하다,0,0,0,0,0,1,0,0
그냔은 남자 두 명 골로 보내놓고 참 뻔뻔스럽게 잘 나온다...,0,0,0,0,0,1,0,0
꽃뱀 역겨워,0,1,0,0,0,1,0,0
난 쟤만 나오면 토나와서 채널 돌려,0,1,0,0,0,1,0,0
국회의원이 문신 합법화 한다고 퍼포먼스 하는거 봤어?,0,0,0,1,0,0,0,0
수준 진짜 하아...,0,0,0,0,0,1,0,0
문신 합법화는 또 왜 하자고 설치는건데?,0,0,0,0,0,1,0,0
문신이 위험해서 합법화해서 안전하게 해야 된다고 그러던데,0,0,0,1,0,0,0,0
문신충 샛기들은 그냥 데지게 내비두면 안 되나?,0,1,0,0,0,1,0,0
아오 저 여경 진짜 빽빽거리네 짜증나게,0,0,0,0,0,1,0,0
하나도 안 무서워 ㅋㅋㅋ,0,0,0,0,0,1,0,0
여경도 경찰이냐?,0,0,0,0,0,1,0,0
우리나라 여경은 90프로가 무쓸모 세금 기생충들인듯,0,0,0,0,0,1,0,0
저 일본팀 대표 한국 사람이야?,0,0,0,1,0,0,0,0
ㅇㅇ 국내에서 국가대표 못 되니까 귀화했대,0,0,0,1,0,0,0,0
헐.. 아무리 그래도 일본에 귀화를 하냐,0,0,0,0,0,1,0,0
고작 메달 때문에 일본 기어간 거 한심하다 ㅉㅉ,0,0,0,0,0,1,0,0
남태권도 할 때 도복이 거의 쫄바지 수준인거 나만 불편했나...,0,0,0,1,0,0,0,0
실력이 유치원생이라 유치원생 사이즈 입었나보네 ㅋㅋㅋ,0,0,0,0,0,1,0,0
진심 우리 아들 유치원 때 태권도 하는 거 같더라.. 퇴출하자...,0,0,0,0,0,1,0,0
우리나라 태권도 왜 이지경이 됐냐...,0,0,0,1,0,0,0,0
태권도가 아니라 다들 닭싸움하고 자빠졌음 ㅋㅋㅋㅋ,0,0,0,0,0,1,0,0
나는 제기차기하는 줄 ㅋㅋㅋㅋ,0,0,0,0,0,1,0,0
다리 긴놈이 유리하고 앞다리만 계속 들고 있는데 사마귀같더라 ㅋㅋ,0,0,0,0,0,1,0,0
이게 웃을 일이 아님 ㅜㅜ,0,0,0,1,0,0,0,0
전자빵셔틀 버리고 돈 쳐먹고 버튼놀이 하는 심판들 퇴출하면 예전처럼 될 듯 한데,0,0,0,0,0,1,0,0
태권도 협회가 빙산협회보다 더 썩었다던데 어마어마한 개샛기들이라고...ㅎ,0,0,0,0,0,1,1,0
태권도 심판 비리로 자살한 선수 아버지 생각나네,0,0,0,1,0,0,0,0
비리와 스캔들의 온상인 태권도 협회...,0,0,0,1,0,0,0,0
태권도 협회 싹 다 갈아 엎어야 되는데 청원 안 올라오나 ㅜ,0,0,0,1,0,0,0,0
이쁜 것들은 이쁜 짓만 하고 미운 것들은 밋틴 짓만 한다,0,0,0,0,0,1,0,0
진짜 앞으로 태권도도 양궁협회가 관리하자,0,0,0,1,0,0,0,0
쟤 음주운전 한 애 아니야?,0,0,0,1,0,0,0,0
진짜 철면피네.. 무슨 염치로 TV에 나와?,0,0,0,0,0,1,0,0
음주운전은 다신 운전대 못 잡게 손모가지를 워함마로 찍어버려야 함,0,0,0,0,1,1,0,0
보기 흉하다고 ㅈ롤하면 눈알만 살포시 뽑아줘도 되고,0,0,0,0,1,1,0,0
일본 핵폐기물 오염수를 태평양에 버린다는 거 실화임?,0,0,0,1,0,0,0,0
진짜 제정신인가,0,0,0,1,0,0,0,0
방사능 때문에 뇌가 녹아 버린듯,0,0,0,0,0,1,0,0
아깝게 바다에 왜 버리나 그렇게 괜찮으면 너네끼리 생수로 먹고 가가호호 상수도로 이용해라 제발~,0,0,0,0,0,1,0,0
우리 선수들 도시락 따로 하는 거 맞지?,0,0,0,1,0,0,0,0
방사능 음식은 지들이나 쳐먹었으면 좋겠네,0,1,0,0,0,1,0,0
진짜 찝찝해서 안 돼,0,0,0,1,0,0,0,0
이번에 올림픽 봤는데 야구 진짜 엉망이더라,0,0,0,1,0,0,0,0
K리그에서도 원래 말 많았어,0,0,0,1,0,0,0,0
재미없어도 간간히 봤는데 이젠 진짜 빠이빠이다,0,0,0,1,0,0,0,0
프로는 개뼈따구... 하는 짓이 그냥 동네 양아치던데,0,0,0,0,0,1,0,0
팬 무시하는 프로가 어떻게 프로야 그냥 지 잘난 맛에 사는 아마추어 보다 못한 양아치지,0,0,0,0,0,1,0,0
요즘 비혼주의 비혼주의 하는데 웃기지도 않음,0,0,0,0,0,1,0,0
꼴페미들은 결혼을 못하는 건데 안 하는 거라 위안 삼으니까 좋은가봄,0,0,0,0,0,1,0,0
그렇게 살다 가시라고 해야지 뭐 ㅋㅋㅋㅋ,0,0,0,0,0,1,0,0
이번 휴가 때 부산 갈 건데 해수욕장 열었을까?,0,0,0,1,0,0,0,0
진짜... 답 없다 너도,0,0,0,0,0,1,0,0
휴가라고 기어내려오는 것들 무슨 무뇌아도 아니고 생각이 있긴 한건지 의심스럽네,0,1,0,0,0,1,0,0
정부랑 부산시도 문제야,0,0,0,1,0,0,0,0
해수욕장 폐장시켜야지 마스크 쓰고 물놀이하라고?,0,0,0,1,0,0,0,0
저 비리덩어리 부산시장은 생각을 엉덩이로 하나?,0,0,0,0,0,1,0,0
하다하다 진짜 성매매 업소 여성 지원금이 말이 되냐?,0,0,0,1,0,0,0,0
나는 진짜 꼴페미들 뇌구조가 궁금해,0,0,0,0,0,1,0,0
창냔은 창냔이지 뭔 지원금이야,0,1,0,0,0,1,0,0
걸렝이 빨아서 수건 쓸 수 있나?,0,1,0,0,0,1,0,0
절대 네버 안 변한다.,0,0,0,1,0,0,0,0
이번에 일본 올림픽 개최하고 오히려 적자라던데 불쌍하네,0,0,0,1,0,0,0,0
일본놈들 자국민 해쳐먹는거 보소,0,0,0,0,0,1,0,0
뭐가 불쌍해,0,0,0,1,0,0,0,0
쪽발충은 그냥 멸망길,0,1,0,0,0,1,0,0
저딴 놈들한테 35년이나 지배받았다고 생각하니 그게 더 열받음,0,0,0,0,0,1,0,0
걔가 어떻게 주연 발탁 됐는지 도저히 이해 안 돼,0,0,0,1,0,0,0,0
걔 좀 호감캐 아니야?,0,0,0,1,0,0,0,0
호감? ㅋㅋㅋㅋ,0,0,0,1,0,0,0,0
꼴값떠는거 극혐이던데,0,0,0,0,0,1,0,0
내 기준 완전 꼴뵈기 싫은 연예인 원탑,0,0,0,0,0,1,0,0
이번 경기에서 짱깨들 반칙하는 거 봤냐?,0,1,0,0,0,1,0,1
짱꼴라 수준이 그렇지 뭐,0,1,0,0,0,1,0,1
짱꼴라샛기들은 한복 입혀 놓고 김치 일주일간 먹이고 싶음,0,1,0,0,0,1,0,1
국회의원이 운전기사 폭행한 거 들었어?,0,0,0,1,0,0,0,0
누가 영상도 찍어서 올렸어,0,0,0,1,0,0,0,0
쓰레기 국개위원 답네,0,0,0,0,0,1,0,0
자식까지 저 ㅈ롤할 거 생각하니까 참 3대를 죽여버리고 싶네,0,0,0,0,1,0,0,0
한녀특 감성충들이라 지들 마음에 안들면 일단 까고봄,0,1,0,0,0,1,0,0
거기다가 까는 논리가 아무리 거지같아도 지들끼리 편먹고 좋아요 눌러주면서 힘 보태주는 거라고 착각함,0,0,0,0,0,1,0,0
그러니까 걔들이 선동을 잘 당하는거임,0,0,0,0,0,1,0,0
역시 한녀들 지능 수준ㅋㅋ,0,1,0,0,0,1,0,0
앞으로는 사건명을 피해자 이름이 아니라 가해자 이름을 넣어서 불러야 된다고 본다,0,0,0,1,0,0,0,0
왜 그렇게 불러야 함? 또 하나하나 의미부여했더니 불편해짐?,0,0,0,0,0,1,0,0
맥락 파악 못하네 그런 말이 아니잖아,0,0,0,1,0,0,0,0
그러니까 왜 그렇게 해야 하냐고ㅋㅋ 일일이 불편해하는 너같은 개돼지들 보고 있으니까 혐오스럽다,0,0,0,0,0,1,0,0
맥락 파악 못한다고 하는거 자체가 저능아 인증하는거야,0,0,0,0,0,1,0,0
무작정 키보드 잡기 전에 교육부터 받고 와라,0,0,0,0,0,1,0,0
너같은거 키워보겠다고 애쓴 니 부모들 지능이 놀랍다,0,0,0,0,0,1,0,0
와 저 마스크 벗고 끄덕이면서 우쭐대는 표정봐 진짜 역겨워,0,0,0,0,0,1,0,0
면상봐 마기꾼 급이네,0,0,0,0,0,1,0,0
저러면 자기가 엄청 잘생겨질 줄 아나보네?,0,0,0,0,0,1,0,0
현실은 도퇘지에 개찐따인 주제에ㅋㅋ,0,0,0,0,0,1,0,0
무시하면 이렇게 된다는건 지가 잘난것 마냥 우쭐대고 과시하고 싶어하는 심리인듯,0,0,0,1,0,0,0,0
이런 애들은 지능이 낮고 충동적이라 인간보단 짐승에 가까움,0,0,0,0,0,1,0,0
ㅇㅈ짐승이라 욕구 해소하는게 인생을 살아가게 하는 원동력일듯,0,0,0,0,0,1,0,0
그러니까 애초에 왜 무시해,0,0,0,1,0,0,0,0
무시당한 경험 많으신가봐여? 어디서 찐따 냄새난다,0,0,0,0,0,1,0,0
역시 남자는 안 만나는게 장수하는 길이다..,0,0,0,0,0,1,0,0
응 꼭 평생 너 혼자 살아라,0,0,0,0,0,1,0,0
이딴식으로 자기 위로 하면서 살아가는 찌질이들이 이렇게 많은줄 몰랐다,0,0,0,0,0,1,0,0
혼자 발작하네 도퇘지 꿀꿀대노ㅋㅋ,0,1,0,0,0,1,0,0
니가 여자 못만나서 허버허버 거리는거 다 앎 이 도태 한남아,0,1,0,0,0,1,0,0
저 강제로범넘 형량 실화냐?,0,0,0,1,0,0,0,0
저런것들은 사형도 모자람 솔직히 사지를 더 절단해 버려야 한다고 본다,0,0,0,0,1,0,0,0
저런 것들이 살아 숨쉴 수 있도록 내가 세금을 바치고 있다는게 너무 분하다,0,0,0,0,0,1,0,0
병걸리면 범죄 저질러도 용서가 되는거였어?,0,0,0,1,0,0,0,0
저딴 폐기물들도 보호해주는 법수준,0,0,0,0,0,1,0,0
판사들 생각이 있는거임? 이정도면 싹 다 갈아엎거나 정신 감정 해봐야 하는거 아냐?,0,0,0,0,0,1,0,0
국회의원들은 나랏돈 쳐먹으면서 도대체 하는게 뭐임?,0,0,0,0,0,1,0,0
국회의원ㄴㄴ 국개의원임 이 개만도 못한 것들,0,0,0,0,0,1,0,0
국민들이 뼈빠지게 벌어놓은 피같은 세금 받아 쳐먹으면 양심이 있으면 열심히 해야지,0,0,0,0,0,1,0,0
이러다간 마약 청정국이던 나라가 k-마약 열풍 불러오게 생겼네,0,0,0,0,0,1,0,0
도대체 경찰들은 돈을 얼마나 쳐먹었으면 이러는건지..,0,0,0,0,0,1,0,0
에이 그래도 경찰들 열심히 일했음 숨겨주고 묻어주는 일ㅋㅋ,0,0,0,0,0,1,0,0
경찰들이 그 모양이니까 정치인 자식들이 다 마약하고 앉아있지,0,0,0,0,0,1,0,0
역시 견찰들은 믿고 거르는거다,0,0,0,0,0,1,0,0
견찰 표현 좋네ㅋㅋ,0,0,0,0,0,1,0,0
에이 그래도 개가 무슨 죄야 적어도 회충이나 기생충 정도는 돼야지,0,0,0,0,0,1,0,0
돼지같은게 그만 좀 나대,0,0,0,0,0,1,0,0
뭐라고?,0,0,0,1,0,0,0,0
아 이제는 귓빵구에 까지 살쪄서 알아듣지도 못하네,0,0,0,0,0,1,0,0
패럴림픽은 해설도 장애가 함? 엄청 더듬거리네,0,1,0,0,0,1,0,0
하다하다 기계까지도 장애인가봄,0,1,0,0,0,0,0,0
점수 올라가는거 느려 터짐.. 아 심판이 장애라 그런가?,0,1,0,0,0,1,0,0
어제 열애설 봄?,0,0,0,1,0,0,0,0
엉 아니 양심이 있지 13살 차이 실화냐?,0,0,0,1,0,0,0,0
남자가 돈이 많은가보네,0,0,0,1,0,0,0,0
아님 여자가 밤일을 잘하나?,0,0,1,0,0,0,0,0
저런 쓰레기같은 노래나 만들거면 그냥 안나왔으면,0,0,0,0,0,1,0,0
ㅇㅈ 맨날 똑같은 노래나 갖고 나옴 거의 자가 복제 수준,0,0,0,0,0,1,0,0
개똥같은 노래 계속 듣고 있다간 귀에 딱지 앉겠다,0,0,0,0,0,1,0,0
이젠 전주만 들어도 온몸에 두드러기 날 지경이야,0,0,0,0,0,1,0,0
어후 생각만 해도 질린다 질려,0,0,0,0,0,1,0,0
저 한남들 여기까지 찾아와서 미러링 시전중,0,1,0,0,0,0,0,0
머리가 똑똑해야 여혐을 하든 뭐든 하지,0,0,0,0,0,1,0,0
머리에 든게 없으니 뭐만 하면 남혐 남혐.. 빼액거리기만 함,0,0,0,0,0,1,0,0
어제 남혐글 보고 뭐라 했는데 아니어서 개쪽당함,0,0,0,1,0,0,0,0
ㅉㅉ그렇게 페미를 싫어하더니 페미랑 동급 되어버렸네,0,1,0,0,0,1,0,0
요즘 한강 물 많이 차갑냐? 빠르게 뛰어드는게 나을 듯..,0,0,0,0,1,0,0,0
한국 남자 ㄱㅊ 작다 그냥 나가 뒤져라,0,0,1,0,0,1,0,0
인정 내가 더 클지도,0,0,0,0,0,1,0,0
뭐라는거야 역시 페미는 무지성 무근본,0,1,0,0,0,1,0,0
한국 여자들 가슴 작다 작작 먹고 운동 좀 하자,0,0,1,0,0,1,0,0
저기 흑누나 봐봐 얼마나 빵빵하고 튼실하니,0,0,1,0,0,0,0,0
저정도는 돼야 볼 맛이 나지,0,0,1,0,0,0,0,0
한국 남자 비만율 높다 손가락 놀릴 시간에 작작 먹고 살 좀 빼라,0,0,0,0,0,1,0,0
그 허접한 비만율 검사로 비만율 높다는 헛소리 하는게 더 이상하다고는 생각 안하나,0,0,0,1,0,0,0,0
한남들 부들거리노ㅋㅋ,0,1,0,0,0,0,0,0
왜 남편만 저렇게 뚱뚱하고 못생기고 재수없게 그려놓음? 남혐 아님?,0,1,0,0,0,1,0,0
네 본인은 어떤지 제발 거울 좀 보고 얘기하시구요,0,0,0,0,0,1,0,0
그리고 제가 저를 그린 것이기 때문에 남혐 아닙니다,0,0,0,1,0,0,0,0
엄한데서 미러링하다가 쪽당했네ㅋㅋ 한남 수준,0,1,0,0,0,1,0,0
어제 뉴스 봄?,0,0,0,1,0,0,0,0
ㅇㅇ어떻게 아빠란 사람이 딸 방에 몰카를 설치할 수가 있어?,0,0,0,1,0,0,0,0
진짜 소름돋는다.. 그걸 보면서 무슨 짓을 했을지,0,0,0,1,0,0,0,0
아니 아무리 그래도 어떻게 아빠를 신고하냐?,1,0,0,0,0,0,0,0
지가 아빠한테 뜯어먹은 돈이 몇개고 지금까지 키워준 세월이 있는데 말이야..,0,0,0,0,0,1,0,0
대중교통 탔는데 옆에 뚱뚱한 사람 앉으면 짜증남,0,0,0,0,0,1,0,0
맞아 또 요즘 여름이라 살 닿기라도 하면 세상 찝찝,0,0,0,0,0,1,0,0
고깃덩어리들이 돌아다니다가 육수 줄줄흘리고 와서 엄청 끈적거림,0,0,0,0,0,1,0,0
밖에서 햇빛 받으면 익어서 고기 냄새 나진 않을까 싶어ㅋㅋ,0,0,0,0,0,1,0,0
덩치는 또 얼마나 큰지 내가 앉을 자리가 없을 정도임,0,0,0,0,0,1,0,0
얘 그룹에서 포지션이 뭐야?,0,0,0,1,0,0,0,0
얼굴도 못생겼고 좀 뚱뚱한거 보니까 노래 엄청 잘하나보네?,0,0,0,0,0,1,0,0
엥 얘 비주얼 담당 센터인데?,0,0,0,1,0,0,0,0
헐 이따구로 생긴애가 비주얼 센터면 이 그룹 미래가 어둡다,0,0,0,0,0,1,0,0
망돌이 따로 없네,0,0,0,0,0,1,0,0
최근에 마라탕 배달시켜 먹었는데 죽은 애벌레가 둥둥 떠있었음,0,0,0,1,0,0,0,0
전화해서 따졌더니 그럴수도 있다고 뻔뻔함 시전,0,0,0,1,0,0,0,0
검색해봤더니 조선족이 하는 식당이라 거긴 믿고 거르기로 함,0,1,0,0,0,1,0,0
너네도 조선족이나 짱개들이 운영하는 식당 가지마 언제 독살당할지 모른다,0,1,0,0,0,1,0,1
우울증이나 공황장애 그거 자기가 불리할 때만 도지는 병인듯,0,1,0,0,0,0,0,0
자기 연애한다고 고백할땐 멀쩡하다가 현남친이 바람펴서 만난 사람이란거 논란되니까 갑자기 우울증 도짐,0,1,0,0,0,0,0,0
처음 한두번은 안타깝고 불쌍했는데 이젠 걍 한심해보임,0,1,0,0,0,0,0,0
40살 넘은 아재가 자기 딸뻘한테 이성적 감정을 느끼는게 정상인거야?,0,1,0,0,0,0,0,0
자기 아빠뻘 되는 사람한테 여우짓 하는 여자도 정상으로 보이진 않는다,0,1,0,0,0,0,0,0
도대체 나이를 어디로 쳐먹은거야?,0,1,0,0,0,0,0,0
너무 맛있게 먹어서 저렇게 배가 볼록하게 나온듯ㅋㅋ,0,1,0,0,0,0,0,0
가끔 페미들 하는 짓 보면 정신에 이상 있는거 같음,0,1,0,0,0,0,0,0
페미들 원래 반사회적 정신병 환자들이잖아,0,1,0,0,0,0,0,0
도대체 그런 정신환자들 병원에 안가두고 멀쩡히 돌아다니게 방치하는지 이해할 수가 없어,0,1,0,0,0,0,0,0
저번에 어떤 신입사원이 자기 페미라면서 난동부렸던거 얘기 했지?,0,0,0,1,0,0,0,0
ㅇㅇ그사람 그래서 짤렸다며,0,0,0,1,0,0,0,0
우리 회사 그 이후로 여대출신들은 거른다,0,0,0,0,0,0,0,1
그 사람이 여대 출신이었냐?,0,0,0,1,0,0,0,0
잘했다 회사 이익을 위해서라도 페미는 거르는게 맞음,0,0,0,0,0,0,0,1
아 또 질질 짜기 시작.. 진짜 페미 종특 아니냐?,0,1,0,0,0,0,0,0
지들은 남돌 성희롱하고 외모 지적 다 하면서 여돌한테 조금이라도 그렇게 하면 빼액거림,0,0,0,0,0,1,0,0
