sentence,d_num,speaker,label,혐오,선정,범죄,욕설,비난,비도덕 아님,폭력,차별
남 시선 의식하는 거 아시아인 종특,564,화자1,"차별,혐오,비난",1,0,0,0,1,0,0,1
유럽인들에 비해 키가 작고 공동체 문화여서 뭐든 무리지어 다니나보니 생겼다고함,564,화자2,비도덕 아님,0,0,0,0,0,1,0,0
무슨 말도 안되는 허당 멍츙같은 해석이냐,564,화자1,"혐오,비난",1,0,0,0,1,0,0,0
군대 고참들 하나같이 휴가갖다오면 찐따같은 소리함,565,화자1,비난,0,0,0,0,1,0,0,0
휴가 경험담이 하나같이 똑같아 어디 클럽에서 이쁜애 만나서 꼬셔서 따먹은 얘기 꼭 등장,565,화자2,"비난,선정",0,1,0,0,1,0,0,0
한남 군대 고참 종특임,565,화자1,"혐오,비난",1,0,0,0,1,0,0,0
맞어 그짓말치고 허세가득한 거,565,화자2,"혐오,비난",1,0,0,0,1,0,0,0
한남들 종특 얘기하면 끝이 없음,566,화자1,"혐오,비난",1,0,0,0,1,0,0,0
레알 재밌는거 하나는 휴가 갔다온 고참들 중에 여자 안따먹고 온 사람이 없더라,566,화자2,"혐오,비난,선정",1,1,0,0,1,0,0,0
마져마져 그리고 죄다 그렇게 글래머에 얼굴 하얀 미녀들 마치 게임 속 등장녀처럼 자기한테 홀딱반해따고 난리남 허세작렬,566,화자1,선정,0,1,0,0,0,0,0,0
대부분은 PC방에서 휴가 통째로 쓰고 오는 것밖에 없으면서,566,화자2,비도덕 아님,0,0,0,0,0,1,0,0
게임 세계에서 있었던 일 말하는가봄,566,화자1,비도덕 아님,0,0,0,0,0,1,0,0
한국 남자가 말하는 한국 남자 종특 _어?,567,화자1,"혐오,비난",1,0,0,0,1,0,0,0
이쁜 여자 보이면 지랑 잣고 따먹었다고 자랑질함,567,화자1,"혐오,비난",1,0,0,0,1,0,0,0
우웩 하여튼 부끄러워 얼굴을 못들겠다,567,화자2,비도덕 아님,0,0,0,0,0,1,0,0
한녀들 종특 대박 웃김,568,화자1,비난,0,0,0,0,1,0,0,0
자기보다 이쁘고 학벌좋고 잘나가는 애들은 무조건 뒤에서 한번 호박씨까야 직성 풀린다더리,568,화자1,"혐오,비난",1,0,0,0,1,0,0,0
또 운이 좋아서 돈많은 집에 시집가면 자랑질을 어마하게 함,568,화자2,"혐오,비난",1,0,0,0,1,0,0,0
명품 쳐바르고 해외여행 다니면 성공해따고 생각하는 골빈 생각하는 거,568,화자2,"혐오,비난",1,0,0,0,1,0,0,0
부끄럽다 부끄러워 얼마나 한심하니,568,화자1,비난,0,0,0,0,1,0,0,0
한남들 종특이 뭔 줄 알아?,569,화자1,혐오,1,0,0,0,0,0,0,0
남 대화하는 거 엿듣는거래,569,화자2,비난,0,0,0,0,1,0,0,0
특히 여자외모 품평회 엿듣고 또 지들끼리 열더라 지들 얼굴 품평회부터 하지,569,화자1,비난,0,0,0,0,1,0,0,0
한국인들은 남비근성이 심하대,570,화자1,비도덕 아님,0,0,0,0,0,1,0,0
완전 공감 한국인들 종특이지,570,화자2,"혐오,비난",1,0,0,0,1,0,0,0
한국 사람들 다같이 뚜껑 열려서 마녀사냥한 케이스가 그네 죽이기잖아,570,화자1,비도덕 아님,0,0,0,0,0,1,0,0
페미니즘 벌레충들 이 지구상에서 박멸하자,571,화자1,폭력,0,0,0,0,0,0,1,0
혐오할 대상이 밖에 있는 게 아니라 안에 있을 수도 있어,571,화자2,비도덕 아님,0,0,0,0,0,1,0,0
니 자신이 실타면 옥상에서 뛰어내리자,571,화자1,"폭력,범죄",0,0,1,0,0,0,1,0
응응 나 진작에 그렇게 할라 그래씀,571,화자2,"폭력,범죄",0,0,1,0,0,0,1,0
나라를 위해서 일하겠다는데 왜 이렇게 비꼬고 욕을 함?,572,화자1,비도덕 아님,0,0,0,0,0,1,0,0
웃기시네 언제 남자들이 자기 희생하고 나라 살렸다고 이제와서,572,화자2,혐오,1,0,0,0,0,0,0,0
꼴페미들아 니들이 정상인줄 알고 답글 다니?,572,화자1,혐오,1,0,0,0,0,0,0,0
한남 수준이 이렇지뭐 너희는 그럼 정상 지능이니?,572,화자2,혐오,1,0,0,0,0,0,0,0
그냥 하는 짓이 너무 혐오스러워서 친구 없을듯,573,화자1,혐오,1,0,0,0,0,0,0,0
누나 나 혐오스러워?,573,화자2,비도덕 아님,0,0,0,0,0,1,0,0
초딩아 너 못 배운 티나,573,화자1,혐오,1,0,0,0,0,0,0,0
왜 저 댓글이 못 배우고 싼티난다고함 지들은 더 심하면서,573,화자2,혐오,1,0,0,0,0,0,0,0
어제부터 계속 이딴글 올리는 놈 누구임?,574,화자1,비난,0,0,0,0,1,0,0,0
ㅋㅋㅋㅋㅋㅋ아 잼민아 그만하자,574,화자2,"비난,혐오",1,0,0,0,1,0,0,0
초딩 수준을 이해하고 우리가 용서하자,574,화자1,비난,0,0,0,0,1,0,0,0
이모와 아저씨들이 용서할게 초딩아,574,화자2,비도덕 아님,0,0,0,0,0,1,0,0
10대들 댓글 수준이 심각할 정도이다,575,화자1,비도덕 아님,0,0,0,0,0,1,0,0
웃기시네 님도 딱보니 아싸 혼밥하는 급식충이데,575,화자2,혐오,1,0,0,0,0,0,0,0
지능 수준이 딱 10대 초딩 수준이네,575,화자2,혐오,1,0,0,0,0,0,0,0
다들 자기들이 누가 더 멍청한지 콘테스트 하고 있음,576,화자1,"혐오,비난",1,0,0,0,1,0,0,0
제발 좀 정신 차렸으면 좋겠다 누구든지,576,화자2,비도덕 아님,0,0,0,0,0,1,0,0
인신공격하는 애들 인성 수준이 딱 보면 저질이다,576,화자1,혐오,1,0,0,0,0,0,0,0
뭘 해도 극혐이라서 대꾸하는 것도 알러지반응온다,576,화자2,혐오,1,0,0,0,0,0,0,0
페미들이 이제 일반인 코스프레를 하더라,577,화자1,비난,0,0,0,0,1,0,0,0
솔직히 말하면 글 싸지르고 수습안하는 비상식적인 애들이 페미들인데,577,화자2,혐오,1,0,0,0,0,0,0,0
딱 수준 보면 다 알지 뭘 그걸 숨기냐,577,화자1,혐오,1,0,0,0,0,0,0,0
아 짜증나서 페미들 다 저제상으로 갔으면 좋겠다는 바램,577,화자2,"비난,폭력,범죄",0,0,1,0,1,0,1,0
진심으로 판하는 사람들 정신 이상자라고 생각함,578,화자1,혐오,1,0,0,0,0,0,0,0
비추먹고 발광하는 글 보면 정신나간 남자들로 밖에 안보임,578,화자1,"혐오,비난",1,0,0,0,1,0,0,0
매갈이나 패미들이 남자 마음 놓고 까는 곳은 더 아닐텐데,578,화자2,비난,0,0,0,0,1,0,0,0
니들 맘 놓고 발언 못해서 입 근질근질하겠다,578,화자2,혐오,1,0,0,0,0,0,0,0
지들이 뭔가 왕자라도 되는 줄 알아요 조금 세워주니까,579,화자1,"혐오,비난",1,0,0,0,1,0,0,0
그런 너희들 때문에 내가 조신한 척 해야하니?,579,화자1,비도덕 아님,0,0,0,0,0,1,0,0
솔직히 여자들의 시간과 에너지가 아깝다 내 미모도 아깝다,579,화자2,비도덕 아님,0,0,0,0,0,1,0,0
남자들 지가 뭐라고 내가 지켜줄게 그러고 싸구려 옷으로 멋있는 척하고 그러냐,580,화자1,혐오,1,0,0,0,0,0,0,0
개역겹다 왜 그럴까,580,화자2,혐오,1,0,0,0,0,0,0,0
개극혐 지가뭔데 내몸을 가리고 지키고 그러냐,580,화자1,혐오,1,0,0,0,0,0,0,0
맞어 자기 스스로에게 취해서 자기 멋있다고 난리더라,580,화자2,"혐오,비난",1,0,0,0,1,0,0,0
아오 역스러워요 ㅗㅗㅗㅗ,580,화자1,혐오,1,0,0,0,0,0,0,0
현타옴 요새도 연상연하 커플 보고 도둑년놈이라는 표현을 씀?,581,화자1,비도덕 아님,0,0,0,0,0,1,0,0
아무도 신경 안씀 신경쓰는 사람이 관종임,581,화자2,혐오,1,0,0,0,0,0,0,0
솔직히 그런 거 신경쓰는 사람이 덜떨어진 사람이라는 소리 듣지 아무도 뭐라 안함,581,화자2,비도덕 아님,0,0,0,0,0,1,0,0
패미니즘 사상 자체가 잘못됐다,582,화자1,비도덕 아님,0,0,0,0,0,1,0,0
그렇지. 여자 중심적인 사상이 중립이 있냐 그냥 이딴 사상으로 평등 찾는게 말이 안된다 여자 편향된 독재랑 같다,582,화자2,비난,0,0,0,0,1,0,0,0
이론적으로는 완벽해보이는 공산주의  그거 따라야 한다는 멍멍이소리랑 같은 거지,582,화자1,비난,0,0,0,0,1,0,0,0
꼴페미들이 하는 짓이 꼴사납다,583,화자1,"혐오,비난",1,0,0,0,1,0,0,0
남자 욕하면서 남성아동포르노 보면서 낄낄거리는 역한 애들,583,화자2,혐오,1,0,0,0,0,0,0,0
여자들이 불쌍하다고 코스프레하는 위선자들,583,화자1,비난,0,0,0,0,1,0,0,0
개극혐 집단이다 진짜,583,화자2,혐오,1,0,0,0,0,0,0,0
여보세요 페미들 말을 진지하게 말대꾸해주는 거가 멍청한 일입니다,584,화자1,혐오,1,0,0,0,0,0,0,0
맞어 진지한 대꾸가 가치가 없는 냄새나는 애들이야,584,화자2,혐오,1,0,0,0,0,0,0,0
페미 대부분 사회생활 못하는 사회부적응자들인데 정상적으로 상대해주는 게 시간 낭비힘,584,화자1,혐오,1,0,0,0,0,0,0,0
대꾸하면 할 수록 현타옴,584,화자2,비난,0,0,0,0,1,0,0,0
세살 버릇 여든까지 가더라 어릴 때 경험이 중요하다,585,화자1,비도덕 아님,0,0,0,0,0,1,0,0
일찐 양아치였던 애들이 90% 나이먹어도 방황하고 질 떨어지고 댓글 폭탄년놈들 되더라,585,화자1,비난,0,0,0,0,1,0,0,0
그러고보니까 비슷한 경향이 있는 것 같다,585,화자2,비난,0,0,0,0,1,0,0,0
경계선지능장애 인격장애인 애들은 찌질하게 히키코모리처럼 사회 적응 회사 적응 못하고 방구석에 쳐박혀서 키보드 워리어가 되더라,585,화자2,"혐오,비난",1,0,0,0,1,0,0,0
남자들은 못생기고 뚱뚱한 여자들이 페미하는 줄 암,586,화자1,비난,0,0,0,0,1,0,0,0
ㅎㅎㅎㅎ 어이없다 그럼 못생기고 뚱뚱한 남자니까 한남스럽게 댓글다는구나,586,화자2,"혐오,비난",1,0,0,0,1,0,0,0
페미들 중에서 찌질이 많긴함,586,화자1,"혐오,비난",1,0,0,0,1,0,0,0
사회생활 못하는 사회부적응자들이라서 구제가 불가능함,586,화자1,"혐오,비난",1,0,0,0,1,0,0,0
한남 댓글 다는 수준이 가관임,587,화자1,"혐오,비난",1,0,0,0,1,0,0,0
한남들 원래 페미쌉가능이더라,587,화자2,"혐오,비난",1,0,0,0,1,0,0,0
남자들 여자 비하 좀 그만했으면 좋겠어,587,화자1,비도덕 아님,0,0,0,0,0,1,0,0
어떠케 5살 여자애를 성범죄를 했는데 멀쩡히 살아있지? 인간인가?,588,화자1,비도덕 아님,0,0,0,0,0,1,0,0
내가 부모라면 눈 뒤집힐 짓 했네,588,화자2,비도덕 아님,0,0,0,0,0,1,0,0
진짜 목숨 끊어야 마땅한데 눈 똑바로 뜨고 살아있는게 가관임 살인충동느낌,588,화자1,"비난,폭력,범죄",0,0,1,0,1,0,1,0
고민 안들어줘서 화났다하는데 니가 뭔데 친구가 너 얘기 들어줘야함?,589,화자1,비난,0,0,0,0,1,0,0,0
남 고민 들어주는 건 당연한 서비스는 아니다,589,화자2,비도덕 아님,0,0,0,0,0,1,0,0
니 글만 봐도 짜증 솟구치는데 너라면 듣고 싶겠냐,589,화자1,"혐오,비난",1,0,0,0,1,0,0,0
한남 비판하는 어그로 꼴페미들 입다물자 이제,590,화자1,"혐오,비난",1,0,0,0,1,0,0,0
아 나는 이제 페미 알러지 올라오는 거 같다,590,화자2,"혐오,비난",1,0,0,0,1,0,0,0
페미 이기적인 거는 아무튼 알아줘야함,590,화자1,비난,0,0,0,0,1,0,0,0
솔직히 자기 성적 매력 자신있으면 페미나 메갈 될 이유가 없다,591,화자1,"혐오,비난",1,0,0,0,1,0,0,0
페미 메갈은 열폭의 증거이다 아니면 사진으로 증명해봐라,591,화자1,"혐오,비난",1,0,0,0,1,0,0,0
한남 찌질이들아 니꺼나 찍어서 올려봐라,591,화자2,"혐오,비난",1,0,0,0,1,0,0,0
대깨문은 댓글 달지 마라,592,화자1,"혐오,비난",1,0,0,0,1,0,0,0
무조건 정부 찬양하는 사람들 다 티난다,592,화자2,비난,0,0,0,0,1,0,0,0
골은 비었고 돈은 받아야겠고 관종이니까 대깨문 활동한다,592,화자1,"혐오,비난",1,0,0,0,1,0,0,0
우웨에게엘 부르부르푸어거억,593,화자1,"혐오,비난",1,0,0,0,1,0,0,0
토악질 나게 생긴 얼굴을 왜 공개해?,593,화자2,"혐오,비난",1,0,0,0,1,0,0,0
하여튼 지 잘난 맛에 사는데 실제로는 병맛인 사람 마늠,593,화자3,"혐오,비난",1,0,0,0,1,0,0,0
강제로 하는 넘들 얼굴 나오는 것도 토악질남,594,화자1,"혐오,비난",1,0,0,0,1,0,0,0
여자 생긴 게 토악질 나오니까 햇겠지,594,화자2,"혐오,비난,폭력,범죄",1,0,1,0,1,0,1,0
정신 나간 댓글에는 대꾸를 안해주는 게 상책이지,594,화자1,비난,0,0,0,0,1,0,0,0
술 먹고 여자 강제로하는 넘들이 세상 쓰레기들 살려두면 안됨,595,화자1,"비난,폭력",0,0,0,0,1,0,1,0
도끼로 토막내 살인하는 처형해야됨,595,화자2,폭력,0,0,0,0,0,0,1,0
얼굴도 다 공개해서 2차 피해자 막아야됨,595,화자1,비도덕 아님,0,0,0,0,0,1,0,0
페미는 동성애 지지해?,596,화자1,비도덕 아님,0,0,0,0,0,1,0,0
레즈충들이 꼴페미 활동하잖아 남자 극혐하는 이유이씀,596,화자2,"혐오,비난",1,0,0,0,1,0,0,0
남자 안좋아하는 불구들이니까 남성 존재 자체를 인정을 안하네,596,화자1,"혐오,비난",1,0,0,0,1,0,0,0
그럼 나도 레즈 자체 극혐 반댈세,596,화자1,"혐오,비난",1,0,0,0,1,0,0,0
진따들은 절대 이해못할 클라스의 이야기지,597,화자1,비난,0,0,0,0,1,0,0,0
솔까 이해안되면 망상 늘어놓지말고 지잡대나 쳐가라,597,화자2,비난,0,0,0,0,1,0,0,0
극혐들은 극혐받을 이유가 항상 있다,597,화자1,비난,0,0,0,0,1,0,0,0
현실에서 찐따인 애들이 온라인에서 일찐 코스프레함 열폭임,598,화자1,"혐오,비난",1,0,0,0,1,0,0,0
일종의 정신병 증상이지,598,화자2,"혐오,비난",1,0,0,0,1,0,0,0
하는 짓과 모든 말이 혐오스러운데 친구가 있을리가,598,화자2,"혐오,비난",1,0,0,0,1,0,0,0
지능 수준이 처참한데 일찐이니?,599,화자1,"혐오,비난",1,0,0,0,1,0,0,0
수준 떨어지고 경계성 인격장애 있는 애들이 바로 일진들 종특,599,화자2,"혐오,비난",1,0,0,0,1,0,0,0
일찐들아 칭구없으면 학교에서 급식충들 사겨,599,화자2,"혐오,비난",1,0,0,0,1,0,0,0
이 글에는 이제 꼴페미 구더기들의 배설물이 달릴 겁니다,600,화자1,"혐오,비난",1,0,0,0,1,0,0,0
곧 쓰레기 더미에 묻히겠구나 글보다 댓글이 더 쓰레기,600,화자2,"혐오,비난",1,0,0,0,1,0,0,0
구더기들이 사회를 좀먹고 있는 원흉이지,600,화자1,"혐오,비난",1,0,0,0,1,0,0,0
이 글 밑에 곧 논리가 없는 꼴페미들의 댓글이 달릴 것이라 예상합니다.,601,화자1,"혐오,비난",1,0,0,0,1,0,0,0
늘상 그렇듯 논리는 없고 인신공격적인 페미질들,601,화자2,"혐오,비난",1,0,0,0,1,0,0,0
꼴페미 언제나 극협입니다 ㅗㅗㅗㅗㅗ,601,화자1,"혐오,비난",1,0,0,0,1,0,0,0
글쓴이가 뇌가 있는 사람임?,602,화자1,"혐오,비난",1,0,0,0,1,0,0,0
진심 바보인듯 극혐,602,화자2,"혐오,비난",1,0,0,0,1,0,0,0
꼴페미들 하는 짓이 다 이렇지 뭐 뭘기대해,602,화자1,"혐오,비난",1,0,0,0,1,0,0,0
두 마디밖에 할 말이 없다 극혐,602,화자2,"혐오,비난",1,0,0,0,1,0,0,0
그래 하녀들 혐오 그만하고 할 일이나 열심히 하고 능력 쌓고 연봉이나 쌓아라,603,화자1,"혐오,비난",1,0,0,0,1,0,0,0
괜한 열폭하지 말고 한심아 한남아,603,화자1,"혐오,비난",1,0,0,0,1,0,0,0
아까보니 독서실에서 자격증 공부하다가 물싸지른 얘기가 톡선인데 안부끄럽니,603,화자2,"혐오,비난,선정",1,1,0,0,1,0,0,0
적어도 여자들은 욕하고 남자들을 멀리해,603,화자2,"혐오,비난",1,0,0,0,1,0,0,0
역시 여자는 예뻐야 따먹는 맛이남,604,화자1,"혐오,선정,비난",1,1,0,0,1,0,0,0
정신나간 짐승 발정난 멍멍이 같은 놈들아,604,화자1,"혐오,비난,선정",1,1,0,0,1,0,0,0
괜히 외모에 자신없으니까 이런 반응하지마,604,화자2,"혐오,비난",1,0,0,0,1,0,0,0
너도 남자 외모 품평회 하자나 꼴페미들아,604,화자2,"혐오,비난",1,0,0,0,1,0,0,0
역시 엡흔 여자들이 더 개념 충만함,605,화자1,"혐오,비난",1,0,0,0,1,0,0,0
꼭 못생긴 여자들이 꼴페미가 되더라,605,화자2,"혐오,비난",1,0,0,0,1,0,0,0
사람들이 지들 무시하니까 관심받으려고 정신나간 소리하며 한남들 개무시하며 복수하더라,605,화자1,"혐오,비난",1,0,0,0,1,0,0,0
외모 품평회 성적대상화하지말라 하면서 지들은 왜 항상 만나면 여자 외모 품평회함?,606,화자1,"혐오,비난",1,0,0,0,1,0,0,0
솔까 여자는 몸매 빼면 시체,606,화자2,선정,0,1,0,0,0,0,0,0
그러는 너는 그거 만족스러울 만큼 커?,606,화자1,선정,0,1,0,0,0,0,0,0
당연하지 낮져밤이 환상의 궁합이 나야,606,화자2,선정,0,1,0,0,0,0,0,0
걸렝이같이 놀다 온 냔들이 남창 과거 들먹이더라,607,화자1,"선정,비난,욕설",0,1,0,1,1,0,0,0
표현이 너무 폭력적이다 사과해라,607,화자2,비도덕 아님,0,0,0,0,0,1,0,0
솔까 성적으로 문란한 여자들이 남자 과거에 더 예민하더라,607,화자1,비도덕 아님,0,0,0,0,0,1,0,0
그럼 쓰레기같이 게이바에서 놀다온 냄져들은 안그래?,607,화자2,혐오,1,0,0,0,0,0,0,0
쓰레기들이 끼리끼리 알아보고 지들끼리 사귀나봄,607,화자1,비난,0,0,0,0,1,0,0,0
여자들 결혼하기 전에 에이즈 검사 다 해봐야함,608,화자1,비난,0,0,0,0,1,0,0,0
남자도 마찬가지야,608,화자2,비난,0,0,0,0,1,0,0,0
솔까 어디서 굴러먹다 온 걸렝이인지 알길이 없음,608,화자1,선정,0,1,0,0,0,0,0,0
남창에서 놀다 온 걸렝이 출신들이 꼭 여자 걸렝이 타령하더라,608,화자2,"선정,비난",0,1,0,0,1,0,0,0
지금까지 한국 역사에 인물은 거의 다 남자임,609,화자1,비도덕 아님,0,0,0,0,0,1,0,0
여자가 국가를 위해서 한 게 뭐가 있음?,609,화자1,차별,0,0,0,0,0,0,0,1
소추 한남들이 한 짓을 뭐가 대단한 업적이라고들 그렇게 자랑스러워하니,609,화자2,"비난,혐오,혐오",1,0,0,0,1,0,0,0
한심하기 짝이없는 페미충들아 공부 좀 해라,609,화자1,비난,0,0,0,0,1,0,0,0
멍청한 한남충이랑 사느니 혼자 사는 게 나음,610,화자1,혐오,1,0,0,0,0,0,0,0
무능력하고 토태되는 남자충 하고는 상종 안하는 게 낫지,610,화자1,"혐오,비난",1,0,0,0,1,0,0,0
맞아 능력있으면 그냥 여자 혼자 사는 게 나음,610,화자2,"비난,혐오",1,0,0,0,1,0,0,0
남자란 벌레들은 그냥 이 세상에서 없어지면 좋겠음,611,화자1,"혐오,비난",1,0,0,0,1,0,0,0
그러니까 소추 갖고 있을 바에는 그냥 여자로 태어나지,611,화자2,"선정,비난",0,1,0,0,1,0,0,0
그러면 여자만 너무 많아지면 어떻게 해,611,화자3,비도덕 아님,0,0,0,0,0,1,0,0
술집 갔더니 노마스크로 가게 안에서 담배피우고 있는 무개념들 보고 진짜 부들부들,612,화자1,비도덕 아님,0,0,0,0,0,1,0,0
그런 애들 진짜 개패듯이 패야함,612,화자2,"폭력,범죄",0,0,1,0,0,0,1,0
야구빠따 갖고 가자,612,화자1,"폭력,범죄",0,0,1,0,0,0,1,0
그런 애들 술쳐먹고 개진상 피우고 민폐충들임,612,화자2,"혐오,비난",1,0,0,0,1,0,0,0
여자들아 외모 자신없으면 결혼하지마,613,화자1,비난,0,0,0,0,1,0,0,0
딱보면 도태되고 빽없고 돈없고 능력없는 수컷의 발악이네,613,화자2,"혐오,비난",1,0,0,0,1,0,0,0
난 진짜 이런거 보면 이런 놈들 학살시키고 시픔,613,화자2,"혐오,비난,폭력",1,0,0,0,1,0,1,0
님 왜 이렇게 격분하셈?,613,화자1,비도덕 아님,0,0,0,0,0,1,0,0
여자들은 성희롱 댓글 예민하면서 낮져밤이 낮이밤져 낮져밤져 지들 맘대로 품평회 지대로네,614,화자1,"혐오,비난",1,0,0,0,1,0,0,0
꼴페미 꼬락서니의 전형적인 수법,614,화자1,"혐오,비난",1,0,0,0,1,0,0,0
딱 보니 너가 낮이밤져라서 열폭한거네,614,화자2,"혐오,비난",1,0,0,0,1,0,0,0
페미 타령 하지말고 그냥 못 받아친다고 자신없는 거 인정해,614,화자2,"혐오,비난",1,0,0,0,1,0,0,0
한남충들 한심하다 ㅉㅉㅉ 그만 좀 해라,615,화자1,"혐오,비난",1,0,0,0,1,0,0,0
대꾸 해줘서 고마워,615,화자2,비도덕 아님,0,0,0,0,0,1,0,0
혐오는 꼴페미들이 먼저 시작했잖아,615,화자2,"혐오,비난",1,0,0,0,1,0,0,0
얼굴 찌질하고 돈없고 능력없는 남자들은 몸매좋은 여자랑 결혼할 자격 없다,616,화자1,비난,0,0,0,0,1,0,0,0
페미가 진정한 정신병인지 모르는구만,616,화자2,"혐오,비난",1,0,0,0,1,0,0,0
무능력한테 빽도 없고 집도 없고 도태남 수컷들의 발정은 이제 그만 보고 싶다,616,화자1,"선정,비난,혐오",1,1,0,0,1,0,0,0
학교에 친구가 너무 없다,617,화자1,비도덕 아님,0,0,0,0,0,1,0,0
왜 그려 학교에 맨날 붙어있는 급식충들 잇짜나,617,화자2,"비난,혐오",1,0,0,0,1,0,0,0
찌질한 네다급이랑은 친구하기 실어,617,화자1,혐오,1,0,0,0,0,0,0,0
몸매 구린 여자들 제발 셀카좀 그만 올려,618,화자1,"혐오,비난",1,0,0,0,1,0,0,0
네다씹 한남충들 망상 이제 그만 듣고 싶다,618,화자2,"혐오,비난",1,0,0,0,1,0,0,0
너네도 남자 몸 맨날 보고 품평하잖아,618,화자1,비도덕 아님,0,0,0,0,0,1,0,0
여혐하는 애들이 알고보면 할 일없는 골빈놈들,619,화자1,"혐오,비난",1,0,0,0,1,0,0,0
걔네 때문에 남자들이 다 한남이라며 싸잡아 욕 먹잖아,619,화자2,비도덕 아님,0,0,0,0,0,1,0,0
여자 극혐이나 골패미나 다 정신나간 정신병임,619,화자1,"혐오,비난",1,0,0,0,1,0,0,0
댓글 수준보면 학력 수준 딱 나온다 못배웠으면 집에서 잠이나 쳐자라,620,화자1,"혐오,비난",1,0,0,0,1,0,0,0
댓글에 매너없는 사람 많긴 많지,620,화자2,비도덕 아님,0,0,0,0,0,1,0,0
입을 닫으세요 정신병 있으면 약이나 드시지 진짜,620,화자1,"혐오,비난",1,0,0,0,1,0,0,0
위에 댓글 단 사람 개념이 없다,621,화자1,비도덕 아님,0,0,0,0,0,1,0,0
안봐도 뻔함 아싸에다가 친구없고 학력 낮을듯,621,화자2,"혐오,비난",1,0,0,0,1,0,0,0
할짓이 진짜 없으니까 댓글에 이렇게 싸지른다,621,화자1,"혐오,비난",1,0,0,0,1,0,0,0
우리 사회 분열 조장하는 사람들은 가만 보면 짱깨다,622,화자1,"혐오,차별,비난",1,0,0,0,1,0,0,1
짱깨 중에서도 개념없고 못 배우고 범죄 많이 저지르는 조선족들이 심함,622,화자2,"비난,차별,혐오",1,0,0,0,1,0,0,1
극혐 조선족 제발 니네나라 가라,622,화자1,"혐오,비난,차별",1,0,0,0,1,0,0,1
하여튼 못 배운 애들이 도덕성도 떨어져,622,화자2,"차별,혐오,비난",1,0,0,0,1,0,0,1
조선족 어떻게 생각해?,623,화자1,비도덕 아님,0,0,0,0,0,1,0,0
한남 한남 거리는 조선족중국충들 지겹다 없어졌음 좋겠다,623,화자2,"차별,범죄,비난",0,0,1,0,1,0,0,1
그러니까 댓글에 한남 한남 거리는 애들 무개념 조선족 알바일 확률이 많음,623,화자1,"차별,비난",0,0,0,0,1,0,0,1
그만좀 중국 돌아갔으면 좋겠다 냄새난다,623,화자2,"차별,비난",0,0,0,0,1,0,0,1
화나게 하는 애 있는데 어떻게 없애지?,624,화자1,"폭력,범죄",0,0,1,0,0,0,1,0
부엌에서 칼 갖고 가서 한방에 찔러버려,624,화자2,"폭력,범죄",0,0,1,0,0,0,1,0
피 많이 나면 어떻게 닦고 쳐리해?,624,화자1,"폭력,범죄",0,0,1,0,0,0,1,0
걱정하지 마라 아무도 모르게 하는 법 알고이씀,624,화자2,"폭력,범죄",0,0,1,0,0,0,1,0
우리 반에 나 성질 건드리는 애 때메 짜증나,625,화자1,비도덕 아님,0,0,0,0,0,1,0,0
뭘 걱정해 칼로 찔러 버려,625,화자2,"폭력,범죄",0,0,1,0,0,0,1,0
뭘로 찔러 어떻게 한방에 죽일 수 있어?,625,화자1,"폭력,범죄",0,0,1,0,0,0,1,0
내 몸매 보면 매 순간 뛰어내리고 싶다,626,화자1,"혐오,비난,폭력",1,0,0,0,1,0,1,0
응 몸매 안좋으면 영창감이지 아니면 자살각,626,화자2,"혐오,비난,폭력",1,0,0,0,1,0,1,0
그치 안잘생겨 안이쁘면 살 가치가 없다 세상에서 사라지자,626,화자1,"혐오,비난,폭력",1,0,0,0,1,0,1,0
암튼 남자들 성욕 들끓으면 발정기 짐승 같다,627,화자1,"혐오,비난,선정",1,1,0,0,1,0,0,0
웃기고 있네 그렇게 남자만 비하하지 말라 성희롱 성추행 성적 욕구는 여자 유혹도 한 몫한다 꼴페미들 하여튼 남자들 못 잡아먹어 안달이다,627,화자2,"혐오,선정,비난",1,1,0,0,1,0,0,0
한남아 여기서 사라지자,627,화자1,"혐오,비난",1,0,0,0,1,0,0,0
노친네들 노망나서 발정난 멍멍이처럼 날뛰니까 이런 성범죄 사건이 생긴다,628,화자1,"비난,선정",0,1,0,0,1,0,0,0
성범죄 좋아하네 짐승들도 암컷이 관심없는 데에 아무때나 사정 안하그등,628,화자2,"비난,선정",0,1,0,0,1,0,0,0
암년들이 꼬시니까 같이 하는거다 니꺼 간수나 잘해라 남자들 비난하지 말고,628,화자2,"비난,선정",0,1,0,0,1,0,0,0
성범죄 보고 지금 여자 비하하냐 틀딱노친네냐,628,화자1,"혐오,비난,선정",1,1,0,0,1,0,0,0
그지 같은 결혼생활 이제 청산하고 싶다,629,화자1,비도덕 아님,0,0,0,0,0,1,0,0
니가 그지같은 생활이라고 생각하는 건 니가 그지같기 때문이야,629,화자2,"혐오,비난",1,0,0,0,1,0,0,0
그럼 나 뛰어 내릴까?,629,화자1,폭력,0,0,0,0,0,0,1,0
ㅇㅇ 지금 당장 실행하자,629,화자2,"혐오,폭력",1,0,0,0,0,0,1,0
남자들아 성욕 절제 못해서 발정난 똥깨처럼 여자찾아다니지 말고 처자식 먹여살릴 돈 없으면 홀아비로 살아라 여자 고생시키지 말고,630,화자1,"혐오,비난,선정",1,1,0,0,1,0,0,0
여자 고생 시키는 놈들은 영창 감이다,630,화자1,"혐오,비난",1,0,0,0,1,0,0,0
